date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:26:13	54383/54383	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202015%2018:30:58%20GMT	http://kodeforest.net/html/books/store/index.html	C:/My%20Web%20Sites/guoapplications/kodeforest.net/html/books/store/index.html	(from )
09:26:13	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202020%2008:26:11%20GMT	http://kodeforest.net/robots.txt		(from )
09:26:15	124371/124371	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2018:30:59%20GMT	http://kodeforest.net/html/books/store/style.css	C:/My%20Web%20Sites/guoapplications/kodeforest.net/html/books/store/style.css	(from http://kodeforest.net/html/books/store/index.html)
09:26:15	10231/10231	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2018:31:14%20GMT	http://kodeforest.net/html/books/store/css/themetypo.css	C:/My%20Web%20Sites/guoapplications/kodeforest.net/html/books/store/css/themetypo.css	(from http://kodeforest.net/html/books/store/index.html)
09:26:17	146464/146464	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2018:31:05%20GMT	http://kodeforest.net/html/books/store/css/bootstrap.css	C:/My%20Web%20Sites/guoapplications/kodeforest.net/html/books/store/css/bootstrap.css	(from http://kodeforest.net/html/books/store/index.html)
09:26:17	11215/11215	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2018:31:05%20GMT	http://kodeforest.net/html/books/store/css/color.css	C:/My%20Web%20Sites/guoapplications/kodeforest.net/html/books/store/css/color.css	(from http://kodeforest.net/html/books/store/index.html)
09:26:18	26711/26711	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2018:31:07%20GMT	http://kodeforest.net/html/books/store/css/font-awesome.min.css	C:/My%20Web%20Sites/guoapplications/kodeforest.net/html/books/store/css/font-awesome.min.css	(from http://kodeforest.net/html/books/store/index.html)
09:26:19	6543/6543	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2018:31:03%20GMT	http://kodeforest.net/html/books/store/css/bootstrap-slider.css	C:/My%20Web%20Sites/guoapplications/kodeforest.net/html/books/store/css/bootstrap-slider.css	(from http://kodeforest.net/html/books/store/index.html)
09:26:20	28240/28240	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2018:31:16%20GMT	http://kodeforest.net/html/books/store/css/widget.css	C:/My%20Web%20Sites/guoapplications/kodeforest.net/html/books/store/css/widget.css	(from http://kodeforest.net/html/books/store/index.html)
09:26:20	22193/22193	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2018:31:12%20GMT	http://kodeforest.net/html/books/store/css/responsive.css	C:/My%20Web%20Sites/guoapplications/kodeforest.net/html/books/store/css/responsive.css	(from http://kodeforest.net/html/books/store/index.html)
